"Site","Channel","Date (UTC)","Value"
"SS16/1","T648 C1:TEMP","1482205712786","39.0"
"SS16/1","T648 C1:TEMP","1482205822586","37.0"
"SS16/1","T648 C1:TEMP","1482205984586","39.0"
"SS16/1","T648 C1:TEMP","1482215656896","37.0"
"SS16/1","T648 C1:TEMP","1482222404186","35.0"
"SS16/1","T648 C1:TEMP","1482227639486","33.0"
"SS16/1","T648 C1:TEMP","1482227645786","35.0"
"SS16/1","T648 C1:TEMP","1482227760086","33.0"
"SS16/1","T648 C1:TEMP","1482227854586","35.0"
"SS16/1","T648 C1:TEMP","1482227963496","33.0"
"SS16/1","T648 C1:TEMP","1482230974886","35.0"
"SS16/1","T648 C1:TEMP","1482231095496","33.0"
"SS16/1","T648 C1:TEMP","1482231105396","35.0"
"SS16/1","T648 C1:TEMP","1482231238586","33.0"
"SS16/1","T648 C1:TEMP","1482231250276","35.0"
"SS16/1","T648 C1:TEMP","1482242647896","33.0"
"SS16/1","T648 C1:TEMP","1482242694696","35.0"
"SS16/1","T648 C1:TEMP","1482243040286","33.0"
"SS16/1","T648 C1:TEMP","1482257956886","31.0"
"SS16/1","T648 C1:TEMP","1482257970386","33.0"
"SS16/1","T648 C1:TEMP","1482259618286","31.0"
"SS16/1","T648 C1:TEMP","1482259934196","33.0"
"SS16/1","T648 C1:TEMP","1482260098896","31.0"
"SS16/1","T648 C1:TEMP","1482260104296","33.0"
"SS16/1","T648 C1:TEMP","1482268716386","35.0"
"SS16/1","T648 C1:TEMP","1482268735286","33.0"
"SS16/1","T648 C1:TEMP","1482268894586","35.0"
"SS16/1","T648 C1:TEMP","1482268899996","33.0"
"SS16/1","T648 C1:TEMP","1482268931496","35.0"
"SS16/1","T648 C1:TEMP","1482268975586","33.0"
"SS16/1","T648 C1:TEMP","1482272739406","35.0"
"SS16/1","T648 C1:TEMP","1482272749286","33.0"
"SS16/1","T648 C1:TEMP","1482272977886","35.0"
"SS16/1","T648 C1:TEMP","1482272995896","33.0"
"SS16/1","T648 C1:TEMP","1482273034586","35.0"
"SS16/1","T648 C1:TEMP","1482273111086","33.0"
"SS16/1","T648 C1:TEMP","1482273201986","35.0"
"SS16/1","T648 C1:TEMP","1482273280296","33.0"
"SS16/1","T648 C1:TEMP","1482274044396","35.0"
"SS16/1","T648 C1:TEMP","1482274064186","33.0"
"SS16/1","T648 C1:TEMP","1482274512386","35.0"
"SS16/1","T648 C1:TEMP","1482274516006","33.0"
"SS16/1","T648 C1:TEMP","1482287034086","35.0"
"SS16/1","T648 C1:TEMP","1482287880986","33.0"
"SS16/1","T648 C1:TEMP","1482288132086","35.0"
"SS16/1","T648 C1:TEMP","1482289236386","33.0"
"SS16/1","T648 C1:TEMP","1482289271496","35.0"
"SS16/1","T648 C1:TEMP","1482289404686","33.0"
"SS16/1","T648 C1:TEMP","1482289442496","35.0"
"SS16/1","T648 C1:TEMP","1482289473096","33.0"
"SS16/1","T648 C1:TEMP","1482289495586","35.0"
"SS16/1","T648 C1:TEMP","1482289548696","33.0"
"SS16/1","T648 C1:TEMP","1482289561286","35.0"
"SS16/1","T648 C1:TEMP","1482289617996","33.0"
"SS16/1","T648 C1:TEMP","1482289674686","35.0"
"SS16/1","T648 C1:TEMP","1482289707086","33.0"
"SS16/1","T648 C1:TEMP","1482289785386","35.0"
"SS16/1","T648 C1:TEMP","1482289812386","33.0"
"SS16/1","T648 C1:TEMP","1482289917686","35.0"
"SS16/1","T648 C1:TEMP","1482289968996","33.0"
"SS16/1","T648 C1:TEMP","1482290281286","35.0"
"SS16/1","T648 C1:TEMP","1482290309196","33.0"
"SS16/1","T648 C1:TEMP","1482290346996","35.0"
"SS16/1","T648 C1:TEMP","1482290410886","33.0"
"SS16/1","T648 C1:TEMP","1482290695286","35.0"
"SS16/1","T648 C1:TEMP","1482290720486","33.0"
"SS16/1","T648 C1:TEMP","1482290903186","35.0"
"SS16/1","T648 C1:TEMP","1482290994996","33.0"
"SS16/1","T648 C1:TEMP","1482291238886","35.0"
"SS16/1","T648 C1:TEMP","1482297121296","37.0"
"SS16/1","T648 C1:TEMP","1482305046696","35.0"
"SS16/1","T648 C1:TEMP","1482314576796","37.0"
"SS16/1","T648 C1:TEMP","1482314608286","35.0"
"SS16/1","T648 C1:TEMP","1482318502586","37.0"
"SS16/1","T648 C1:TEMP","1482324936686","35.0"
"SS16/1","T648 C1:TEMP","1482324971796","37.0"
"SS16/1","T648 C1:TEMP","1482333912396","35.0"
"SS16/1","T648 C1:TEMP","1482334678286","33.0"
"SS16/1","T648 C1:TEMP","1482336656486","35.0"
"SS16/1","T648 C1:TEMP","1482341800886","37.0"
"SS16/1","T648 C1:TEMP","1482341983596","35.0"
"SS16/1","T648 C1:TEMP","1482347611296","33.0"
"SS16/1","T648 C1:TEMP","1482347613996","35.0"
"SS16/1","T648 C1:TEMP","1482348469886","33.0"
"SS16/1","T648 C1:TEMP","1482348486996","35.0"
"SS16/1","T648 C1:TEMP","1482348635486","33.0"
"SS16/1","T648 C1:TEMP","1482348660696","35.0"
"SS16/1","T648 C1:TEMP","1482349755986","33.0"
"SS16/1","T648 C1:TEMP","1482353193996","35.0"
"SS16/1","T648 C1:TEMP","1482353424386","33.0"
"SS16/1","T648 C1:TEMP","1482353433386","35.0"
"SS16/1","T648 C1:TEMP","1482357310586","33.0"
"SS16/1","T648 C1:TEMP","1482357417686","35.0"
"SS16/1","T648 C1:TEMP","1482357425796","33.0"
"SS16/1","T648 C1:TEMP","1482357456386","35.0"
"SS16/1","T648 C1:TEMP","1482357495086","33.0"
"SS16/1","T648 C1:TEMP","1482357601296","35.0"
"SS16/1","T648 C1:TEMP","1482357673296","33.0"
"SS16/1","T648 C1:TEMP","1482368143886","31.0"
"SS16/1","T648 C1:TEMP","1482368145686","33.0"
"SS16/1","T648 C1:TEMP","1482368358086","31.0"
"SS16/1","T648 C1:TEMP","1482368386896","33.0"
"SS16/1","T648 C1:TEMP","1482368414786","31.0"
"SS16/1","T648 C1:TEMP","1482368498486","33.0"
"SS16/1","T648 C1:TEMP","1482368511986","31.0"
"SS16/1","T648 C1:TEMP","1482368657786","33.0"
"SS16/1","T648 C1:TEMP","1482368667696","31.0"
"SS16/1","T648 C1:TEMP","1482368690186","33.0"
"SS16/1","T648 C1:TEMP","1482368706386","31.0"
"SS16/1","T648 C1:TEMP","1482368850396","33.0"
"SS16/1","T648 C1:TEMP","1482368885496","31.0"
"SS16/1","T648 C1:TEMP","1482403370806","33.0"
"SS16/1","T648 C1:TEMP","1482403435586","31.0"
"SS16/1","T648 C1:TEMP","1482403451796","33.0"
"SS16/1","T648 C1:TEMP","1482404883686","35.0"
"SS16/1","T648 C1:TEMP","1482407792486","37.0"
"SS16/1","T648 C1:TEMP","1482407925696","35.0"
"SS16/1","T648 C1:TEMP","1482408021086","37.0"
"SS16/1","T648 C1:TEMP","1482419776896","35.0"
"SS16/1","T648 C1:TEMP","1482427314376","37.0"
"SS16/1","T648 C1:TEMP","1482427965986","35.0"
"SS16/1","T648 C1:TEMP","1482441289596","33.0"
"SS16/1","T648 C1:TEMP","1482441310286","35.0"
"SS16/1","T648 C1:TEMP","1482441330086","33.0"
"SS16/1","T648 C1:TEMP","1482441403886","35.0"
"SS16/1","T648 C1:TEMP","1482441415586","33.0"
"SS16/1","T648 C1:TEMP","1482442254386","35.0"
"SS16/1","T648 C1:TEMP","1482442411896","33.0"
"SS16/1","T648 C1:TEMP","1482442498296","35.0"
"SS16/1","T648 C1:TEMP","1482442505496","33.0"
"SS16/1","T648 C1:TEMP","1482442512696","35.0"
"SS16/1","T648 C1:TEMP","1482442591896","33.0"
"SS16/1","T648 C1:TEMP","1482442653096","35.0"
"SS16/1","T648 C1:TEMP","1482444816686","33.0"
"SS16/1","T648 C1:TEMP","1482444977806","35.0"
"SS16/1","T648 C1:TEMP","1482445651886","33.0"
